id,chrom,start0,end0,gc,repeat_frac,genic
syn_0178_chr11_123707432,chr11,123707432,123715432,0.417125,0.605875,False
syn_0269_chr9_60882577,chr9,60882577,60890577,0.422,0.495375,False
syn_0161_chr5_64528315,chr5,64528315,64536315,0.39925,0.37925,True
syn_0148_chr9_41055869,chr9,41055869,41063869,0.408,0.520375,True
syn_0159_chr5_36163049,chr5,36163049,36171049,0.4035,0.2825,True
syn_0136_chr3_34021349,chr3,34021349,34029349,0.415625,0.499625,True
syn_0129_chr5_27766966,chr5,27766966,27774966,0.349375,0.377,False
syn_0173_chr8_65352535,chr8,65352535,65360535,0.4095,0.6785,False
syn_0189_chr9_116409653,chr9,116409653,116417653,0.410125,0.335875,False
syn_0233_chr12_11371505,chr12,11371505,11379505,0.41,0.716375,False
syn_0272_chr5_54496574,chr5,54496574,54504574,0.420875,0.989375,False
syn_0262_chr2_226220201,chr2,226220201,226228201,0.377875,0.65725,False
syn_0222_chr12_17208925,chr12,17208925,17216925,0.361375,0.215,False
syn_0121_chr1_21682604,chr1,21682604,21690604,0.422625,0.6055,True
syn_0236_chr1_17833591,chr1,17833591,17841591,0.511,0.564375,False
syn_0084_chr7_115955699,chr7,115955699,115963699,0.308375,0.560625,True
syn_0235_chr3_162626109,chr3,162626109,162634109,0.346,0.437,False
syn_0052_chr18_45963547,chr18,45963547,45971547,0.446125,0.535375,True
syn_0011_chr12_116152775,chr12,116152775,116160775,0.360625,0.243,True
syn_0030_chr5_62865140,chr5,62865140,62873140,0.368625,0.695625,False
syn_0000_chr10_117512146,chr10,117512146,117520146,0.463375,0.363625,True
syn_0175_chr2_202980948,chr2,202980948,202988948,0.338375,0.2885,True
syn_0047_chr1_179025687,chr1,179025687,179033687,0.43275,0.115,True
syn_0029_chr6_132923062,chr6,132923062,132931062,0.363125,0.260375,False
syn_0217_chr17_79751637,chr17,79751637,79759637,0.486375,0.61875,False
syn_0237_chr14_47844619,chr14,47844619,47852619,0.393625,0.956,False
syn_0135_chr6_89324511,chr6,89324511,89332511,0.356125,0.3145,True
syn_0215_chr10_114392822,chr10,114392822,114400822,0.478875,0.1755,True
syn_0208_chr2_112933405,chr2,112933405,112941405,0.42,0.484375,False
syn_0184_chr4_69394625,chr4,69394625,69402625,0.329,0.237875,True
syn_0201_chr7_15318872,chr7,15318872,15326872,0.324125,0.24575,True
syn_0008_chr13_78139346,chr13,78139346,78147346,0.3635,0.25825,True
syn_0212_chr7_65973083,chr7,65973083,65981083,0.543,0.542125,True
syn_0118_chr9_41155736,chr9,41155736,41163736,0.356125,0.22375,True
syn_0028_chr2_222675766,chr2,222675766,222683766,0.385,0.6645,True
syn_0198_chr2_111410362,chr2,111410362,111418362,0.48775,0.14475,True
syn_0045_chr3_72379953,chr3,72379953,72387953,0.40625,0.128875,True
syn_0239_chr4_45107524,chr4,45107524,45115524,0.351875,0.731875,False
syn_0117_chr9_26082385,chr9,26082385,26090385,0.34475,0.4995,True
syn_0296_chr21_43292446,chr21,43292446,43300446,0.53475,0.533875,False
syn_0093_chr12_78243338,chr12,78243338,78251338,0.372375,0.3425,False
syn_0092_chr12_75858902,chr12,75858902,75866902,0.409375,0.551,True
syn_0041_chr20_21376163,chr20,21376163,21384163,0.372375,0.1165,True
syn_0241_chr5_27189679,chr5,27189679,27197679,0.329,0.612625,False
syn_0267_chr10_129346597,chr10,129346597,129354597,0.473625,0.44,False
syn_0126_chr11_85944626,chr11,85944626,85952626,0.419125,0.594,False
syn_0214_chr21_33919787,chr21,33919787,33927787,0.43725,0.581,True
syn_0162_chr12_9138009,chr12,9138009,9146009,0.366375,0.99625,False
syn_0195_chr18_67692163,chr18,67692163,67700163,0.345375,0.451,True
syn_0100_chr2_145819534,chr2,145819534,145827534,0.36375,0.3725,True
syn_0170_chr2_7140771,chr2,7140771,7148771,0.40725,0.52275,True
syn_0169_chr9_105804246,chr9,105804246,105812246,0.424125,1.0,False
syn_0231_chr2_128947124,chr2,128947124,128955124,0.464,0.58275,False
syn_0223_chr2_180346474,chr2,180346474,180354474,0.368125,0.63275,False
syn_0113_chr1_61586980,chr1,61586980,61594980,0.43175,0.492625,True
syn_0197_chr22_19046661,chr22,19046661,19054661,0.459625,0.668125,True
syn_0107_chr1_15819139,chr1,15819139,15827139,0.474875,0.811,False
syn_0199_chr9_105196397,chr9,105196397,105204397,0.410875,0.59875,True
syn_0056_chr14_95803670,chr14,95803670,95811670,0.443625,0.47225,False
syn_0026_chr11_119827612,chr11,119827612,119835612,0.502625,0.34425,True
syn_0004_chr16_33847837,chr16,33847837,33855837,0.389125,0.316875,True
syn_0119_chr19_22171659,chr19,22171659,22179659,0.318375,0.505375,True
syn_0019_chr13_109956102,chr13,109956102,109964102,0.413625,0.621125,False
syn_0042_chr14_86654570,chr14,86654570,86662570,0.37325,0.396625,False
syn_0095_chr3_148105278,chr3,148105278,148113278,0.350375,0.398125,True
syn_0143_chr17_56284688,chr17,56284688,56292688,0.40975,0.250125,True
syn_0043_chr8_50109843,chr8,50109843,50117843,0.374125,0.5455,True
syn_0146_chr3_150280599,chr3,150280599,150288599,0.37175,0.605375,True
syn_0120_chr1_239061181,chr1,239061181,239069181,0.31575,0.5595,False
syn_0191_chr1_190030707,chr1,190030707,190038707,0.33625,0.62225,False
syn_0125_chr4_161662898,chr4,161662898,161670898,0.362875,0.731375,True
syn_0297_chr21_26797471,chr21,26797471,26805471,0.4035,0.27875,False
syn_0017_chr8_15813513,chr8,15813513,15821513,0.357625,0.35075,False
syn_0141_chr18_3844587,chr18,3844587,3852587,0.376625,0.5435,True
syn_0142_chr6_115071195,chr6,115071195,115079195,0.340375,0.404125,False
syn_0145_chr17_30033703,chr17,30033703,30041703,0.384,0.8265,True
syn_0106_chr10_114496181,chr10,114496181,114504181,0.422875,0.43125,True
syn_0238_chr10_2245111,chr10,2245111,2253111,0.403375,0.319,False
syn_0037_chr9_68532882,chr9,68532882,68540882,0.4225,0.3015,True
syn_0124_chr8_139555833,chr8,139555833,139563833,0.449,0.341,False
syn_0110_chr8_58438333,chr8,58438333,58446333,0.3775,0.338375,True
syn_0157_chr18_23367331,chr18,23367331,23375331,0.463875,0.507,True
syn_0283_chr9_20133580,chr9,20133580,20141580,0.384875,0.17575,False
syn_0139_chr22_29976913,chr22,29976913,29984913,0.401875,0.351125,True
syn_0177_chr11_64059491,chr11,64059491,64067491,0.5765,0.394875,True
syn_0151_chr4_185002972,chr4,185002972,185010972,0.4995,0.496,True
syn_0224_chr3_152684571,chr3,152684571,152692571,0.3995,0.881625,False
syn_0112_chr12_107141452,chr12,107141452,107149452,0.410125,0.633375,False
syn_0259_chr11_127508425,chr11,127508425,127516425,0.337875,0.982875,False
syn_0098_chr19_3611580,chr19,3611580,3619580,0.631875,0.253125,True
syn_0260_chr4_151367993,chr4,151367993,151375993,0.393125,0.691125,False
syn_0273_chr6_156512184,chr6,156512184,156520184,0.427625,0.43975,False
syn_0049_chr16_86636838,chr16,86636838,86644838,0.485,0.40225,True
syn_0276_chr13_44335749,chr13,44335749,44343749,0.424,0.62475,False
syn_0073_chr10_60252238,chr10,60252238,60260238,0.389375,0.34125,True
syn_0288_chr2_173392465,chr2,173392465,173400465,0.410875,0.17875,False
syn_0234_chr2_127814983,chr2,127814983,127822983,0.45675,0.8665,False
syn_0270_chr3_137906278,chr3,137906278,137914278,0.39075,0.9515,False
syn_0067_chr17_38302525,chr17,38302525,38310525,0.452,0.86775,True
syn_0220_chr12_81798227,chr12,81798227,81806227,0.354125,0.444375,False
syn_0221_chr6_76201657,chr6,76201657,76209657,0.352875,0.58675,False
syn_0074_chr11_9022978,chr11,9022978,9030978,0.46375,0.318375,True
syn_0292_chr5_57878101,chr5,57878101,57886101,0.4065,0.415,False
syn_0010_chr17_1954102,chr17,1954102,1962102,0.504375,0.6655,True
syn_0251_chr2_2336869,chr2,2336869,2344869,0.416875,0.291125,False
syn_0087_chr3_65801445,chr3,65801445,65809445,0.397,0.5805,True
syn_0247_chr5_166763276,chr5,166763276,166771276,0.385125,0.47325,False
syn_0167_chr14_101771124,chr14,101771124,101779124,0.475,0.55675,True
syn_0058_chr4_92608789,chr4,92608789,92616789,0.32225,0.849375,True
syn_0210_chr10_44424460,chr10,44424460,44432460,0.462125,0.55375,False
syn_0048_chr14_48671197,chr14,48671197,48679197,0.358375,0.880625,False
syn_0007_chr19_46935758,chr19,46935758,46943758,0.44025,0.552125,True
syn_0038_chr1_78219535,chr1,78219535,78227535,0.40125,0.547,False
syn_0291_chr3_40939175,chr3,40939175,40947175,0.3695,0.88775,False
syn_0204_chr11_15397246,chr11,15397246,15405246,0.375625,0.9405,False
syn_0245_chr3_118816105,chr3,118816105,118824105,0.375875,0.306875,False
syn_0057_chr13_50128094,chr13,50128094,50136094,0.49425,0.06275,True
syn_0176_chr2_157323634,chr2,157323634,157331634,0.403,0.33375,True
syn_0285_chr1_91173450,chr1,91173450,91181450,0.435875,0.498125,False
syn_0094_chr6_81230163,chr6,81230163,81238163,0.327125,0.351625,False
syn_0294_chr21_27569211,chr21,27569211,27577211,0.36325,0.486875,False
syn_0226_chr6_93834579,chr6,93834579,93842579,0.390375,0.916625,False
syn_0152_chr14_73383451,chr14,73383451,73391451,0.409375,0.709375,True
syn_0046_chr7_86973230,chr7,86973230,86981230,0.37975,0.5545,True
syn_0066_chr5_7389848,chr5,7389848,7397848,0.494,0.0735,True
syn_0150_chr4_167932626,chr4,167932626,167940626,0.398875,0.40075,False
syn_0248_chr13_102461566,chr13,102461566,102469566,0.379375,0.593,False
syn_0039_chr12_47685839,chr12,47685839,47693839,0.36325,0.55125,True
syn_0099_chr4_162273643,chr4,162273643,162281643,0.323,0.31625,False
syn_0228_chr9_74233178,chr9,74233178,74241178,0.349125,0.664125,False
syn_0257_chr12_4002343,chr12,4002343,4010343,0.4655,0.437625,False
syn_0185_chr2_181189170,chr2,181189170,181197170,0.340625,0.208375,True
syn_0293_chr6_37101588,chr6,37101588,37109588,0.48075,0.50925,False
syn_0068_chr22_11582009,chr22,11582009,11590009,0.39475,0.7225,False
syn_0174_chr19_55131544,chr19,55131544,55139544,0.541625,0.65925,True
syn_0015_chr2_119425666,chr2,119425666,119433666,0.54325,0.291375,True
syn_0243_chr5_2269955,chr5,2269955,2277955,0.495625,0.2315,False
syn_0077_chr9_132307177,chr9,132307177,132315177,0.3985,0.66625,True
syn_0127_chr12_28773373,chr12,28773373,28781373,0.389375,0.349875,False
syn_0166_chr8_89360452,chr8,89360452,89368452,0.344625,0.2905,False
syn_0018_chr5_98403136,chr5,98403136,98411136,0.417125,0.261125,True
syn_0086_chr13_87074981,chr13,87074981,87082981,0.368875,0.43275,False
syn_0063_chr2_144368418,chr2,144368418,144376418,0.392,0.248125,True
syn_0035_chr1_89408799,chr1,89408799,89416799,0.368875,0.846,True
syn_0209_chr8_94715632,chr8,94715632,94723632,0.458625,0.44925,True
syn_0023_chr3_134696735,chr3,134696735,134704735,0.438875,0.672375,True
syn_0083_chr19_36289107,chr19,36289107,36297107,0.64875,0.704375,True
syn_0219_chr13_42015992,chr13,42015992,42023992,0.39725,0.461625,False
syn_0050_chr10_122228810,chr10,122228810,122236810,0.475375,0.164875,True
syn_0131_chr7_85888357,chr7,85888357,85896357,0.348,0.098625,False
syn_0025_chr7_157449472,chr7,157449472,157457472,0.4105,0.955875,False
syn_0033_chr15_56193356,chr15,56193356,56201356,0.340625,0.455875,True
syn_0258_chr14_28530239,chr14,28530239,28538239,0.369625,0.80225,False
syn_0180_chr11_46790810,chr11,46790810,46798810,0.407875,0.5425,True
syn_0013_chr6_113583269,chr6,113583269,113591269,0.3805,0.263625,True
syn_0147_chr2_19317823,chr2,19317823,19325823,0.390125,0.34775,True
syn_0128_chr1_152746229,chr1,152746229,152754229,0.36275,0.446375,False
syn_0172_chr6_48412414,chr6,48412414,48420414,0.35925,0.4175,False
syn_0207_chr18_34832850,chr18,34832850,34840850,0.372125,0.16275,True
syn_0249_chr5_99603119,chr5,99603119,99611119,0.33025,0.572875,False
syn_0060_chr21_24984475,chr21,24984475,24992475,0.398,0.45525,True
syn_0115_chr1_180159343,chr1,180159343,180167343,0.44125,0.6045,True
syn_0192_chr12_49202287,chr12,49202287,49210287,0.42225,0.72275,True
syn_0097_chr19_44168914,chr19,44168914,44176914,0.398375,0.3375,True
syn_0244_chr11_120087008,chr11,120087008,120095008,0.461125,0.50325,False
syn_0054_chr11_49746847,chr11,49746847,49754847,0.3445,0.714125,True
syn_0299_chr9_122105890,chr9,122105890,122113890,0.5375,0.411,False
syn_0070_chr12_68821710,chr12,68821710,68829710,0.385875,0.501625,True
syn_0059_chr5_84420240,chr5,84420240,84428240,0.326,0.531125,True
syn_0160_chr1_32770113,chr1,32770113,32778113,0.5515,0.21875,True
syn_0193_chr2_18295933,chr2,18295933,18303933,0.331125,0.29525,True
syn_0130_chr21_17528869,chr21,17528869,17536869,0.421,0.582,True
syn_0287_chr3_36200820,chr3,36200820,36208820,0.36125,0.310875,False
syn_0190_chr2_11428613,chr2,11428613,11436613,0.44125,0.467625,False
syn_0202_chr6_90310684,chr6,90310684,90318684,0.42,0.394875,True
syn_0021_chr2_37454340,chr2,37454340,37462340,0.4015,0.358875,False
syn_0282_chr1_18575914,chr1,18575914,18583914,0.51875,0.59425,False
syn_0194_chr7_130235921,chr7,130235921,130243921,0.38475,0.661875,False
syn_0101_chr7_64601119,chr7,64601119,64609119,0.45275,0.938,True
syn_0263_chr14_35496256,chr14,35496256,35504256,0.360625,0.86675,False
syn_0114_chr3_132571134,chr3,132571134,132579134,0.3745,0.423625,True
syn_0085_chr2_196714445,chr2,196714445,196722445,0.36075,0.444125,True
syn_0183_chr4_173129702,chr4,173129702,173137702,0.374625,0.2065,True
syn_0009_chr8_104682118,chr8,104682118,104690118,0.399875,0.324625,True
syn_0281_chr14_83737475,chr14,83737475,83745475,0.3245,0.33275,False
syn_0014_chr3_9086404,chr3,9086404,9094404,0.43475,0.450875,True
syn_0163_chr7_53149553,chr7,53149553,53157553,0.346125,0.321125,False
syn_0252_chr2_200196494,chr2,200196494,200204494,0.409125,0.958125,False
syn_0088_chr8_101166890,chr8,101166890,101174890,0.409125,0.443875,True
syn_0065_chr8_91996797,chr8,91996797,92004797,0.37025,0.183,True
syn_0140_chr8_17306670,chr8,17306670,17314670,0.394125,0.31975,True
syn_0075_chr13_98904722,chr13,98904722,98912722,0.393375,0.32225,True
syn_0196_chr4_122817533,chr4,122817533,122825533,0.40325,0.886875,False
syn_0213_chr9_78437570,chr9,78437570,78445570,0.481125,0.43875,False
syn_0268_chr1_115612220,chr1,115612220,115620220,0.430875,0.72325,False
syn_0109_chr11_74436515,chr11,74436515,74444515,0.418875,0.405375,True
syn_0134_chr10_6915686,chr10,6915686,6923686,0.409,0.52275,True
syn_0022_chr11_9730208,chr11,9730208,9738208,0.38975,0.582,True
syn_0187_chr18_58069170,chr18,58069170,58077170,0.409125,0.68925,True
syn_0186_chr6_15610734,chr6,15610734,15618734,0.39825,0.636,True
syn_0034_chr5_177613337,chr5,177613337,177621337,0.423625,0.82,True
syn_0266_chr1_231150611,chr1,231150611,231158611,0.423,0.558625,False
syn_0133_chr2_108189882,chr2,108189882,108197882,0.35475,0.721375,True
syn_0012_chr3_48242243,chr3,48242243,48250243,0.44825,0.59675,True
syn_0279_chr7_12152163,chr7,12152163,12160163,0.341,0.469375,False
syn_0144_chr8_76077556,chr8,76077556,76085556,0.35025,0.65,False
syn_0138_chr6_37651337,chr6,37651337,37659337,0.505125,0.3885,True
syn_0082_chr2_136225563,chr2,136225563,136233563,0.402625,0.2935,True
syn_0225_chr5_93145927,chr5,93145927,93153927,0.37925,0.31925,False
syn_0298_chr7_54468624,chr7,54468624,54476624,0.394625,0.18225,False
syn_0078_chr22_25233233,chr22,25233233,25241233,0.47325,0.715125,False
syn_0116_chr1_42096198,chr1,42096198,42104198,0.356625,0.881625,False
syn_0181_chr8_130449370,chr8,130449370,130457370,0.433,0.543375,False
syn_0123_chr21_28136398,chr21,28136398,28144398,0.35025,0.57875,True
syn_0164_chr13_96126942,chr13,96126942,96134942,0.391,0.615,True
syn_0062_chr16_17529192,chr16,17529192,17537192,0.444875,0.6245,False
syn_0072_chr6_159533000,chr6,159533000,159541000,0.41975,0.375375,True
syn_0218_chr13_69053575,chr13,69053575,69061575,0.328125,0.8525,False
syn_0016_chr8_108554172,chr8,108554172,108562172,0.364375,0.32575,False
syn_0280_chr1_194734973,chr1,194734973,194742973,0.34075,0.339,False
syn_0061_chr8_15111648,chr8,15111648,15119648,0.378375,0.281125,True
syn_0154_chr1_116893091,chr1,116893091,116901091,0.407875,0.815,False
syn_0264_chr2_83202330,chr2,83202330,83210330,0.36825,0.422125,False
syn_0005_chr10_78903462,chr10,78903462,78911462,0.528125,0.309625,False
syn_0250_chr15_87708864,chr15,87708864,87716864,0.411375,0.289125,False
syn_0081_chr5_66683970,chr5,66683970,66691970,0.3905,0.336875,True
syn_0206_chr12_51460172,chr12,51460172,51468172,0.41025,0.23325,True
syn_0227_chr7_53017432,chr7,53017432,53025432,0.34975,0.521375,False
syn_0232_chr11_42613429,chr11,42613429,42621429,0.396,0.629125,False
syn_0284_chr1_82082877,chr1,82082877,82090877,0.35425,0.39025,False
syn_0003_chr6_18100727,chr6,18100727,18108727,0.40075,0.814375,False
syn_0036_chr5_134497438,chr5,134497438,134505438,0.476625,0.611875,True
syn_0055_chr9_68560476,chr9,68560476,68568476,0.4355,0.437875,True
syn_0090_chr1_17382498,chr1,17382498,17390498,0.523,0.4575,True
syn_0102_chr4_124852231,chr4,124852231,124860231,0.376125,0.271875,False
syn_0105_chr3_99770408,chr3,99770408,99778408,0.409125,0.40825,True
syn_0032_chr3_74556256,chr3,74556256,74564256,0.38975,0.603125,True
syn_0255_chr1_20571286,chr1,20571286,20579286,0.47475,0.65725,False
syn_0079_chr7_95599694,chr7,95599694,95607694,0.426125,0.541625,True
syn_0240_chr13_87220854,chr13,87220854,87228854,0.344,0.61175,False
syn_0278_chr13_62050278,chr13,62050278,62058278,0.3465,0.345625,False
syn_0149_chr5_17726293,chr5,17726293,17734293,0.383,0.2605,True
syn_0171_chr18_51491962,chr18,51491962,51499962,0.404375,0.420125,True
syn_0002_chr17_6766313,chr17,6766313,6774313,0.37325,0.75175,True
syn_0040_chr11_98824738,chr11,98824738,98832738,0.3735,0.685625,False
syn_0179_chr6_141360944,chr6,141360944,141368944,0.358875,0.7615,False
syn_0271_chr7_56604484,chr7,56604484,56612484,0.413375,0.417625,False
syn_0104_chr3_52545325,chr3,52545325,52553325,0.40425,0.2095,True
syn_0031_chr14_75487469,chr14,75487469,75495469,0.47,0.439875,False
syn_0137_chr2_166397565,chr2,166397565,166405565,0.330875,0.515625,True
syn_0111_chr9_135336592,chr9,135336592,135344592,0.577875,0.161875,True
syn_0216_chr13_78772505,chr13,78772505,78780505,0.352375,0.036125,False
syn_0253_chr2_182575168,chr2,182575168,182583168,0.366,0.446125,False
syn_0205_chr21_40332245,chr21,40332245,40340245,0.393125,0.428625,True
syn_0132_chr1_160740853,chr1,160740853,160748853,0.43725,0.377125,True
syn_0254_chr14_94843183,chr14,94843183,94851183,0.472375,0.476125,False
syn_0122_chr3_133405217,chr3,133405217,133413217,0.404625,0.643375,True
syn_0261_chr11_125814390,chr11,125814390,125822390,0.401875,0.971375,False
syn_0274_chr11_23481788,chr11,23481788,23489788,0.391125,0.83925,False
syn_0080_chr12_97909232,chr12,97909232,97917232,0.396125,0.67025,False
